accession_id,title,creator,date_acquired,format,collection
A-2019-0041,Riley County plat maps,Riley County Surveyor,2019-03-14,Map,Regional History
A-2019-0112,Letters of M. Hartwell,Hartwell family,03/22/2019,Correspondence,Manuscripts
A-2020-0007,Extension bulletin no. 212,State Extension Service,Jan 9 2020,Pamphlet,Agriculture
A-2020-0058,Campus photographs 1950s,University Photographer,2020.06.30,Photograph,University Archives
A-2020-0133,Flint Hills oral histories (tapes 1-8),Oral History Project,14 August 2020,Audio,Regional History
A-2021-0019,Wheat variety trial notebooks,Dept. of Agronomy,2021-2-3,Notebook,Agriculture
A-2021-0077,Student newspaper bound vols 1962-64,Student Publications,04/05/2021,Serial,University Archives
A-2021-0140,Poster collection - campus events,Student Union,Sept. 2021,Poster,University Archives
A-2022-0003,Farm ledger 1911,Unknown,2022-01-11,Ledger,Agriculture
A-2022-0095,Hartwell family photographs,Hartwell family,7/19/22,Photograph,Manuscripts
A-2022-0188,County fair premium lists,County Fair Association,November 3rd 2022,Pamphlet,Regional History
A-2023-0020,Home economics lecture notes,College of Home Economics,02/03/2023,Notebook,University Archives
A-2023-0071,Railroad timetables,Union Pacific,2023-06-31,Pamphlet,Regional History
A-2023-0150,Veterinary medicine glass slides,College of Veterinary Medicine,20231015,Slide,University Archives
A-2024-0012,Prairie restoration field notes,Konza research staff,unknown,Notebook,Regional History
A-2024-0066,Alumni magazine back issues,Alumni Association,2024-04-22,Serial,University Archives
