month,database,vendor,searches,full_text_downloads,annual_cost_usd
2025-07,AgriScholar Complete,Prairie Info Services,909,331,38500
2025-07,Veterinary Medicine Online,Hollis Academic,502,193,29800
2025-07,Engineering Standards Direct,Techna Publishing,312,86,44200
2025-07,Historical Kansas Newspapers,Plains Digital Archive,209,50,12600
2025-07,PsycSearch Plus,Meridian Research,644,271,21400
2025-07,Business Source Horizon,Meridian Research,569,173,26900
2025-07,Chemical Abstracts Lite,Techna Publishing,392,110,51000
2025-07,Education Research Index,Hollis Academic,433,146,9800
2025-07,Global Film Archive,Reelbase,22,2,17500
2025-07,Legal Periodicals Online,Statute & Brief,129,38,14300
2025-07,Nursing & Allied Health Full Text,Hollis Academic,526,210,23700
2025-07,Art & Architecture Image Bank,Lumen Visual,139,31,19900
2025-08,AgriScholar Complete,Prairie Info Services,1550,714,38500
2025-08,Veterinary Medicine Online,Hollis Academic,819,329,29800
2025-08,Engineering Standards Direct,Techna Publishing,523,149,44200
2025-08,Historical Kansas Newspapers,Plains Digital Archive,384,85,12600
2025-08,PsycSearch Plus,Meridian Research,982,379,21400
2025-08,Business Source Horizon,Meridian Research,1128,372,26900
2025-08,Chemical Abstracts Lite,Techna Publishing,590,169,51000
2025-08,Education Research Index,Hollis Academic,718,247,9800
2025-08,Global Film Archive,Reelbase,35,4,17500
2025-08,Legal Periodicals Online,Statute & Brief,241,69,14300
2025-08,Nursing & Allied Health Full Text,Hollis Academic,742,308,23700
2025-08,Art & Architecture Image Bank,Lumen Visual,181,38,19900
2025-09,AgriScholar Complete,Prairie Info Services,2878,1233,38500
2025-09,Veterinary Medicine Online,Hollis Academic,1484,569,29800
2025-09,Engineering Standards Direct,Techna Publishing,1079,308,44200
2025-09,Historical Kansas Newspapers,Plains Digital Archive,787,209,12600
2025-09,PsycSearch Plus,Meridian Research,2264,836,21400
2025-09,Business Source Horizon,Meridian Research,1874,700,26900
2025-09,Chemical Abstracts Lite,Techna Publishing,1192,334,51000
2025-09,Education Research Index,Hollis Academic,1431,455,9800
2025-09,Global Film Archive,Reelbase,56,6,17500
2025-09,Legal Periodicals Online,Statute & Brief,416,125,14300
2025-09,Nursing & Allied Health Full Text,Hollis Academic,1361,602,23700
2025-09,Art & Architecture Image Bank,Lumen Visual,345,62,19900
2025-10,AgriScholar Complete,Prairie Info Services,3380,1209,38500
2025-10,Veterinary Medicine Online,Hollis Academic,1924,643,29800
2025-10,Engineering Standards Direct,Techna Publishing,1237,365,44200
2025-10,Historical Kansas Newspapers,Plains Digital Archive,762,184,12600
2025-10,PsycSearch Plus,Meridian Research,2447,1058,21400
2025-10,Business Source Horizon,Meridian Research,2404,872,26900
2025-10,Chemical Abstracts Lite,Techna Publishing,1272,382,51000
2025-10,Education Research Index,Hollis Academic,1581,534,9800
2025-10,Global Film Archive,Reelbase,71,6,17500
2025-10,Legal Periodicals Online,Statute & Brief,543,145,14300
2025-10,Nursing & Allied Health Full Text,Hollis Academic,1599,763,23700
2025-10,Art & Architecture Image Bank,Lumen Visual,465,100,19900
2025-11,AgriScholar Complete,Prairie Info Services,3408,1589,38500
2025-11,Veterinary Medicine Online,Hollis Academic,2125,727,29800
2025-11,Engineering Standards Direct,Techna Publishing,1070,310,44200
2025-11,Historical Kansas Newspapers,Plains Digital Archive,974,254,12600
2025-11,PsycSearch Plus,Meridian Research,2745,1136,21400
2025-11,Business Source Horizon,Meridian Research,2286,764,26900
2025-11,Chemical Abstracts Lite,Techna Publishing,1695,502,51000
2025-11,Education Research Index,Hollis Academic,1675,679,9800
2025-11,Global Film Archive,Reelbase,75,8,17500
2025-11,Legal Periodicals Online,Statute & Brief,488,157,14300
2025-11,Nursing & Allied Health Full Text,Hollis Academic,1717,696,23700
2025-11,Art & Architecture Image Bank,Lumen Visual,463,95,19900
2025-12,AgriScholar Complete,Prairie Info Services,2173,878,38500
2025-12,Veterinary Medicine Online,Hollis Academic,1274,420,29800
2025-12,Engineering Standards Direct,Techna Publishing,721,186,44200
2025-12,Historical Kansas Newspapers,Plains Digital Archive,612,146,12600
2025-12,PsycSearch Plus,Meridian Research,1677,653,21400
2025-12,Business Source Horizon,Meridian Research,1752,601,26900
2025-12,Chemical Abstracts Lite,Techna Publishing,945,291,51000
2025-12,Education Research Index,Hollis Academic,1253,422,9800
2025-12,Global Film Archive,Reelbase,54,6,17500
2025-12,Legal Periodicals Online,Statute & Brief,358,122,14300
2025-12,Nursing & Allied Health Full Text,Hollis Academic,1137,495,23700
2025-12,Art & Architecture Image Bank,Lumen Visual,273,53,19900
2026-01,AgriScholar Complete,Prairie Info Services,1527,665,38500
2026-01,Veterinary Medicine Online,Hollis Academic,1011,425,29800
2026-01,Engineering Standards Direct,Techna Publishing,589,180,44200
2026-01,Historical Kansas Newspapers,Plains Digital Archive,405,112,12600
2026-01,PsycSearch Plus,Meridian Research,1398,480,21400
2026-01,Business Source Horizon,Meridian Research,995,296,26900
2026-01,Chemical Abstracts Lite,Techna Publishing,683,190,51000
2026-01,Education Research Index,Hollis Academic,853,301,9800
2026-01,Global Film Archive,Reelbase,33,3,17500
2026-01,Legal Periodicals Online,Statute & Brief,221,60,14300
2026-01,Nursing & Allied Health Full Text,Hollis Academic,769,307,23700
2026-01,Art & Architecture Image Bank,Lumen Visual,216,45,19900
2026-02,AgriScholar Complete,Prairie Info Services,3134,1366,38500
2026-02,Veterinary Medicine Online,Hollis Academic,1535,552,29800
2026-02,Engineering Standards Direct,Techna Publishing,1058,279,44200
2026-02,Historical Kansas Newspapers,Plains Digital Archive,639,152,12600
2026-02,PsycSearch Plus,Meridian Research,1974,820,21400
2026-02,Business Source Horizon,Meridian Research,1663,484,26900
2026-02,Chemical Abstracts Lite,Techna Publishing,1265,394,51000
2026-02,Education Research Index,Hollis Academic,1387,497,9800
2026-02,Global Film Archive,Reelbase,65,6,17500
2026-02,Legal Periodicals Online,Statute & Brief,421,117,14300
2026-02,Nursing & Allied Health Full Text,Hollis Academic,1455,724,23700
2026-02,Art & Architecture Image Bank,Lumen Visual,323,74,19900
2026-03,AgriScholar Complete,Prairie Info Services,3397,1394,38500
2026-03,Veterinary Medicine Online,Hollis Academic,2042,681,29800
2026-03,Engineering Standards Direct,Techna Publishing,1140,334,44200
2026-03,Historical Kansas Newspapers,Plains Digital Archive,964,237,12600
2026-03,PsycSearch Plus,Meridian Research,2188,869,21400
2026-03,Business Source Horizon,Meridian Research,2320,880,26900
2026-03,Chemical Abstracts Lite,Techna Publishing,1283,351,51000
2026-03,Education Research Index,Hollis Academic,1358,520,9800
2026-03,Global Film Archive,Reelbase,73,7,17500
2026-03,Legal Periodicals Online,Statute & Brief,481,134,14300
2026-03,Nursing & Allied Health Full Text,Hollis Academic,1860,863,23700
2026-03,Art & Architecture Image Bank,Lumen Visual,457,85,19900
2026-04,AgriScholar Complete,Prairie Info Services,3686,1681,38500
2026-04,Veterinary Medicine Online,Hollis Academic,2064,753,29800
2026-04,Engineering Standards Direct,Techna Publishing,1259,368,44200
2026-04,Historical Kansas Newspapers,Plains Digital Archive,947,242,12600
2026-04,PsycSearch Plus,Meridian Research,2826,1069,21400
2026-04,Business Source Horizon,Meridian Research,2591,949,26900
2026-04,Chemical Abstracts Lite,Techna Publishing,1349,405,51000
2026-04,Education Research Index,Hollis Academic,1743,567,9800
2026-04,Global Film Archive,Reelbase,76,7,17500
2026-04,Legal Periodicals Online,Statute & Brief,564,176,14300
2026-04,Nursing & Allied Health Full Text,Hollis Academic,1705,822,23700
2026-04,Art & Architecture Image Bank,Lumen Visual,505,92,19900
2026-05,AgriScholar Complete,Prairie Info Services,2790,1252,38500
2026-05,Veterinary Medicine Online,Hollis Academic,1400,509,29800
2026-05,Engineering Standards Direct,Techna Publishing,859,293,44200
2026-05,Historical Kansas Newspapers,Plains Digital Archive,627,174,12600
2026-05,PsycSearch Plus,Meridian Research,1843,830,21400
2026-05,Business Source Horizon,Meridian Research,1762,553,26900
