booking_id,room,room_capacity,date,weekday,start_time,end_time,hours,group_size,booked_by,purpose,checked_in
SR-1001,Hale 213,6,2026-08-24,Monday,18:00,20:00,2,5,Undergraduate,Group project,yes
SR-1002,Hale 218,8,2026-08-24,Monday,20:00,21:00,1,8,Undergraduate,Study session,no
SR-1003,Hale 210,4,2026-08-25,Tuesday,10:00,12:00,2,2,Undergraduate,Meeting,yes
SR-1004,Hale 220,12,2026-08-25,Tuesday,15:00,16:00,1,9,Staff,Study session,yes
SR-1005,Hale 211,4,2026-08-25,Tuesday,16:00,17:00,1,4,Faculty,Group project,yes
SR-1006,Hale 213,6,2026-08-25,Tuesday,16:00,18:00,2,3,Undergraduate,Presentation practice,yes
SR-1007,Hale 212,4,2026-08-25,Tuesday,17:00,19:00,2,3,Graduate,Exam review,yes
SR-1008,Hale 213,6,2026-08-25,Tuesday,17:00,18:00,1,6,Undergraduate,Study session,yes
SR-1009,Hale 221,12,2026-08-25,Tuesday,17:00,19:00,2,12,Staff,Group project,yes
SR-1010,Hale 214,6,2026-08-25,Tuesday,18:00,19:00,1,5,Undergraduate,Exam review,yes
SR-1011,Hale 214,6,2026-08-26,Wednesday,12:00,14:00,2,3,Undergraduate,Group project,yes
SR-1012,Hale 212,4,2026-08-26,Wednesday,17:00,19:00,2,4,Undergraduate,Tutoring,yes
SR-1013,Hale 216,6,2026-08-26,Wednesday,17:00,18:00,1,4,Staff,Tutoring,yes
SR-1014,Hale 214,6,2026-08-26,Wednesday,20:00,21:00,1,5,Undergraduate,Tutoring,yes
SR-1015,Hale 213,6,2026-08-27,Thursday,12:00,13:00,1,6,Graduate,Meeting,yes
SR-1016,Hale 215,6,2026-08-27,Thursday,15:00,17:00,2,3,Faculty,Meeting,yes
SR-1017,Hale 214,6,2026-08-27,Thursday,16:00,18:00,2,6,Undergraduate,Presentation practice,no
SR-1018,Hale 221,12,2026-08-27,Thursday,16:00,18:00,2,7,Undergraduate,Group project,yes
SR-1019,Hale 211,4,2026-08-27,Thursday,17:00,19:00,2,3,Graduate,Meeting,yes
SR-1020,Hale 219,8,2026-08-27,Thursday,17:00,19:00,2,8,Faculty,Exam review,yes
SR-1021,Hale 211,4,2026-08-27,Thursday,18:00,20:00,2,4,Undergraduate,Study session,yes
SR-1022,Hale 218,8,2026-08-28,Friday,11:00,13:00,2,4,Graduate,Tutoring,yes
SR-1023,Hale 210,4,2026-08-28,Friday,13:00,15:00,2,4,Undergraduate,Meeting,yes
SR-1024,Hale 214,6,2026-08-28,Friday,13:00,15:00,2,4,Staff,Group project,yes
SR-1025,Hale 221,12,2026-08-28,Friday,14:00,16:00,2,6,Staff,Study session,yes
SR-1026,Hale 214,6,2026-08-28,Friday,17:00,19:00,2,3,Undergraduate,Tutoring,yes
SR-1027,Hale 211,4,2026-08-28,Friday,18:00,20:00,2,3,Staff,Meeting,yes
SR-1028,Hale 219,8,2026-08-29,Saturday,09:00,12:00,3,8,Undergraduate,Tutoring,yes
SR-1029,Hale 210,4,2026-08-29,Saturday,12:00,15:00,3,4,Graduate,Meeting,no
SR-1030,Hale 211,4,2026-08-29,Saturday,13:00,15:00,2,2,Undergraduate,Group project,yes
SR-1031,Hale 212,4,2026-08-29,Saturday,18:00,20:00,2,4,Undergraduate,Meeting,yes
SR-1032,Hale 221,12,2026-08-29,Saturday,19:00,20:00,1,6,Graduate,Group project,yes
SR-1033,Hale 215,6,2026-08-30,Sunday,11:00,13:00,2,6,Undergraduate,Presentation practice,yes
SR-1034,Hale 212,4,2026-08-30,Sunday,15:00,18:00,3,2,Undergraduate,Group project,yes
SR-1035,Hale 219,8,2026-08-30,Sunday,17:00,18:00,1,8,Graduate,Presentation practice,yes
SR-1036,Hale 210,4,2026-08-31,Monday,08:00,10:00,2,3,Undergraduate,Study session,yes
